Question,Answer
What can you do with a forest?,A basic fact about forest is easy to understand.
How does a forest work?,Here are three common forest.
Why is a forest needed?,There are different types of forest.
What is a river?,People learn about river through simple examples.
What does river mean?,The purpose of a river is to help or entertain people.
What is the purpose of a river?,river can be explained in simple words.
Why do people like river?,A river is used when needed in everyday tasks.
How is a river used?,river means something simple related to everyday life.
Name a popular river.,river is important because it plays a useful role.
Give an example of a river.,The purpose of a river is to help or entertain people.
Give top 3 river.,Some river are well known and easy to choose.
Suggest some river.,There are different types of river.
Recommend a good river.,Some river are well known and easy to choose.
When is a river used?,A river is used in normal situations regularly.
Where do you find a river?,A river helps people in everyday tasks.
How do you choose a river?,A good river depends on personal preference.
Why is river important?,A river is needed for basic purposes.
Is river useful?,There are different types of river.
What makes a good river?,A river is used in normal situations regularly.
What is special about river?,People learn about river through simple examples.
